Fecha,Grupo,Producto,Mercado,Precio_kg
mar-13,VERDURAS Y HORTALIZAS,Tomate chonto,"Manizales, Centro Galerías",1400.0
abr-13,CARNES,"Carne de cerdo, espinazo","Manizales, Centro Galerías",7000.0
abr-13,CARNES,"Carne de cerdo, lomo sin hueso","Manizales, Centro Galerías",1300.0
abr-13,CARNES,"Carne de cerdo, pernil sin hueso","Manizales, Centro Galerías",1100.0
abr-13,CARNES,"Carne de cerdo, tocino papada","Manizales, Centro Galerías",8000.0
abr-13,FRUTAS,Banano criollo,"Manizales, Centro Galerías",550.0
abr-13,FRUTAS,Coco,"Manizales, Centro Galerías",1613.0
abr-13,FRUTAS,Fresa,"Manizales, Centro Galerías",3733.0
abr-13,FRUTAS,Granadilla,"Manizales, Centro Galerías",2493.0
abr-13,FRUTAS,Guanábana,"Manizales, Centro Galerías",1766.0
abr-13,FRUTAS,Guayaba agria,"Manizales, Centro Galerías",2670.0
abr-13,FRUTAS,Guayaba manzana,"Manizales, Centro Galerías",1600.0
abr-13,FRUTAS,Guayaba pera,"Manizales, Centro Galerías",1208.0
abr-13,FRUTAS,Kiwi,"Manizales, Centro Galerías",4467.0
abr-13,FRUTAS,Limón Tahití,"Manizales, Centro Galerías",1006.0
abr-13,FRUTAS,Lulo,"Manizales, Centro Galerías",1947.0
abr-13,FRUTAS,Mandarina Oneco,"Manizales, Centro Galerías",1878.0
abr-13,FRUTAS,Mango Tommy,"Manizales, Centro Galerías",1688.0
abr-13,FRUTAS,Manzana roja importada,"Manizales, Centro Galerías",3211.0
abr-13,FRUTAS,Manzana royal gala importada,"Manizales, Centro Galerías",3037.0
abr-13,FRUTAS,Manzana verde importada,"Manizales, Centro Galerías",3129.0
abr-13,FRUTAS,Maracuyá,"Manizales, Centro Galerías",1753.0
abr-13,FRUTAS,Melón Cantalup,"Manizales, Centro Galerías",1357.0
abr-13,FRUTAS,Mora de Castilla,"Manizales, Centro Galerías",3630.0
abr-13,FRUTAS,Naranja Valencia,"Manizales, Centro Galerías",550.0
abr-13,FRUTAS,Papaya Maradol,"Manizales, Centro Galerías",1178.0
abr-13,FRUTAS,Pera importada,"Manizales, Centro Galerías",2882.0
abr-13,FRUTAS,Piña gold,"Manizales, Centro Galerías",1419.0
abr-13,FRUTAS,Tangelo,"Manizales, Centro Galerías",1724.0
abr-13,FRUTAS,Tomate de árbol,"Manizales, Centro Galerías",1472.0
